,whitebox_m,blackbox_m,whitebox_m_pval,blackbox_m_pval,y_hat,uf dim,canary frequency,cardinality
0,0.011212004,0.011212004,0.0,0.0,1,5,1,10000
1,0.008409723,0.008409723,0.0,0.0,1,5,1,10000
2,0.008302777,0.008302777,0.0,0.0,1,5,1,10000
3,0.015186013,0.015186013,0.0,0.0,1,5,1,10000
4,0.014174447,0.014174447,0.0,0.0,1,5,1,10000
5,0.006457601,0.006457601,0.0,0.0,1,5,1,10000
6,0.008118967,0.008118967,0.0,0.0,1,5,1,10000
7,0.007870852,0.007870852,0.0,0.0,1,5,1,10000
8,-0.0021693083,0.0021018109,1.0,3.951532501865649e-44,0,5,1,10000
9,-0.0068227802,0.006655231,1.0,0.0,0,5,1,10000
10,0.037004407,0.037004407,0.0,0.0,1,5,100,10000
11,0.009312424,0.009312424,0.0,0.0,1,5,100,10000
12,0.022750456,0.022750456,0.0,0.0,1,5,100,10000
13,0.028821161,0.028821161,0.0,0.0,1,5,100,10000
14,0.015616862,0.015616862,0.0,0.0,1,5,100,10000
15,0.01982149,0.01982149,0.0,0.0,1,5,100,10000
16,0.030923994,0.030923994,0.0,0.0,1,5,100,10000
17,0.040103093,0.040103093,0.0,0.0,1,5,100,10000
18,0.0118262675,0.0118262675,0.0,0.0,1,5,100,10000
19,0.0052910824,0.0052910824,0.0,0.0,1,5,100,10000
